Filename,"Original Path","SEO Title","Alt Text",Description,Method,"File Size","MIME Type"
ld5.webp,wp-content/uploads/2025/03/ld5.webp,Ld5,Ld5,"High-quality Ld5 services at Main Street Health facility",enhanced_fallback,"776 bytes",image/webp
ld4.webp,wp-content/uploads/2025/03/ld4.webp,Ld4,Ld4,"Ld4 providing quality healthcare services at Main Street Health",enhanced_fallback,"896 bytes",image/webp
ld3.webp,wp-content/uploads/2025/03/ld3.webp,Ld3,Ld3,"Main Street Health Ld3 for comprehensive patient care",enhanced_fallback,"810 bytes",image/webp
Prakash-Patel-1.png,wp-content/uploads/2025/09/Prakash-Patel-1.png,"Prakash Patel","Prakash Patel","Prakash Patel in modern medical environment at Main Street Health",enhanced_fallback,"908,951 bytes",image/png
Frame-330-1-3-2-1.png,wp-content/uploads/2025/09/Frame-330-1-3-2-1.png,"Frame 330 1 3 2","Frame 330 1 3 2","Frame 330 1 3 2 providing quality healthcare services at Main Street Health",enhanced_fallback,"1,583,343 bytes",image/png
noun-injury-7344654-FFFFFF-3.svg,wp-content/uploads/2025/09/noun-injury-7344654-FFFFFF-3.svg,"Noun Injury 7344654 Ffffff","Noun Injury 7344654 Ffffff","Main Street Health Noun Injury 7344654 Ffffff for comprehensive patient care",enhanced_fallback,"1,224 bytes",image/svg+xml
noun-central-nervous-system-2937625-FFFFFF-3.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-3.svg,"Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff","High-quality Noun Central Nervous System 2937625 Ffffff services at Main Street Health facility",enhanced_fallback,"1,808 bytes",image/svg+xml
noun-central-nervous-system-2937625-FFFFFF-2.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-2.svg,"Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff","Main Street Health Noun Central Nervous System 2937625 Ffffff for comprehensive patient care",enhanced_fallback,"1,808 bytes",image/svg+xml
noun-injury-7344654-FFFFFF-2.svg,wp-content/uploads/2025/09/noun-injury-7344654-FFFFFF-2.svg,"Noun Injury 7344654 Ffffff","Noun Injury 7344654 Ffffff","Professional Noun Injury 7344654 Ffffff at Main Street Health medical facility",enhanced_fallback,"1,224 bytes",image/svg+xml
Raphael-Keelan.png,wp-content/uploads/2025/09/Raphael-Keelan.png,"Raphael Keelan","Raphael Keelan","High-quality Raphael Keelan services at Main Street Health facility",enhanced_fallback,"779,168 bytes",image/png
noun-central-nervous-system-2937625-FFFFFF.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF.svg,"Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff providing quality healthcare services at Main Street Health",enhanced_fallback,"1,808 bytes",image/svg+xml
Sun-Life_idpKDFwX1z_0.png,wp-content/uploads/2025/09/Sun-Life_idpKDFwX1z_0.png,"Sun Life Idpkdfwx1z 0","Sun Life Idpkdfwx1z 0","Main Street Health Sun Life Idpkdfwx1z 0 for comprehensive patient care",enhanced_fallback,"22,060 bytes",image/png
Prakash-Patel.png,wp-content/uploads/2025/09/Prakash-Patel.png,"Prakash Patel","Prakash Patel","Professional Prakash Patel at Main Street Health medical facility",enhanced_fallback,"908,951 bytes",image/png
canada-life-e-tm.323032332d30382d33303a31303a3134.svg,wp-content/uploads/2025/09/canada-life-e-tm.323032332d30382d33303a31303a3134.svg,"Canada Life E Tm.323032332d30382d33303a31303a3134","Canada Life E Tm.323032332d30382d33303a31303a3134","Canada Life E Tm.323032332d30382d33303a31303a3134 in modern medical environment at Main Street Health",enhanced_fallback,"14,455 bytes",image/svg+xml
noun-brain-5315047-FFFFFF-3-2.svg,wp-content/uploads/2025/09/noun-brain-5315047-FFFFFF-3-2.svg,"Noun Brain 5315047 Ffffff 3","Noun Brain 5315047 Ffffff 3","Professional Noun Brain 5315047 Ffffff 3 at Main Street Health medical facility",enhanced_fallback,"8,391 bytes",image/svg+xml
noun-central-nervous-system-2937625-FFFFFF-3-1.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-3-1.svg,"Noun Central Nervous System 2937625 Ffffff 3","Noun Central Nervous System 2937625 Ffffff 3","Noun Central Nervous System 2937625 Ffffff 3 in modern medical environment at Main Street Health",enhanced_fallback,"1,808 bytes",image/svg+xml
chronic-pain-photo-1.png,wp-content/uploads/2025/09/chronic-pain-photo-1.png,"Chronic Pain Photo","Chronic Pain Photo","Professional Chronic Pain Photo at Main Street Health medical facility",enhanced_fallback,"983,611 bytes",image/png
noun-neck-pain-638287-FFFFFF-3-1-1.svg,wp-content/uploads/2025/09/noun-neck-pain-638287-FFFFFF-3-1-1.svg,"Noun Neck Pain 638287 Ffffff 3 1","Noun Neck Pain 638287 Ffffff 3 1","Main Street Health Noun Neck Pain 638287 Ffffff 3 1 for comprehensive patient care",enhanced_fallback,"3,512 bytes",image/svg+xml
chronic-pain.png,wp-content/uploads/2025/09/chronic-pain.png,"Chronic Pain","Chronic Pain","Professional Chronic Pain at Main Street Health medical facility",enhanced_fallback,"3,324 bytes",image/png
Frame-330-1-3-1-1.webp,wp-content/uploads/2025/09/Frame-330-1-3-1-1.webp,"Frame 330 1 3 1","Frame 330 1 3 1","Frame 330 1 3 1 in modern medical environment at Main Street Health",enhanced_fallback,"35,324 bytes",image/webp
noun-injury-7344654-FFFFFF-1.svg,wp-content/uploads/2025/09/noun-injury-7344654-FFFFFF-1.svg,"Noun Injury 7344654 Ffffff","Noun Injury 7344654 Ffffff","High-quality Noun Injury 7344654 Ffffff services at Main Street Health facility",enhanced_fallback,"1,224 bytes",image/svg+xml
noun-central-nervous-system-2937625-FFFFFF-1.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-1.svg,"Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff","Noun Central Nervous System 2937625 Ffffff in modern medical environment at Main Street Health",enhanced_fallback,"1,808 bytes",image/svg+xml
noun-brain-5315047-FFFFFF-3-1.svg,wp-content/uploads/2025/09/noun-brain-5315047-FFFFFF-3-1.svg,"Noun Brain 5315047 Ffffff 3","Noun Brain 5315047 Ffffff 3","High-quality Noun Brain 5315047 Ffffff 3 services at Main Street Health facility",enhanced_fallback,"8,391 bytes",image/svg+xml
noun-central-nervous-system-2937625-FFFFFF-3-2.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-3-2.svg,"Noun Central Nervous System 2937625 Ffffff 3","Noun Central Nervous System 2937625 Ffffff 3","High-quality Noun Central Nervous System 2937625 Ffffff 3 services at Main Street Health facility",enhanced_fallback,"1,808 bytes",image/svg+xml
Frame-330-1-3.png,wp-content/uploads/2025/09/Frame-330-1-3.png,"Frame 330 1","Frame 330 1","High-quality Frame 330 1 services at Main Street Health facility",enhanced_fallback,"1,583,343 bytes",image/png
Group-390-4-1.png,wp-content/uploads/2025/09/Group-390-4-1.png,"Group 390 4","Group 390 4","Professional Group 390 4 at Main Street Health medical facility",enhanced_fallback,"722,334 bytes",image/png
noun-central-nervous-system-2937625-FFFFFF-3-2-1.svg,wp-content/uploads/2025/09/noun-central-nervous-system-2937625-FFFFFF-3-2-1.svg,"Noun Central Nervous System 2937625 Ffffff 3 2","Noun Central Nervous System 2937625 Ffffff 3 2","Noun Central Nervous System 2937625 Ffffff 3 2 in modern medical environment at Main Street Health",enhanced_fallback,"1,808 bytes",image/svg+xml
GreenShield_Logo_Green_RGB.png,wp-content/uploads/2025/09/GreenShield_Logo_Green_RGB.png,"Greenshield Logo Green Rgb","Greenshield Logo Green Rgb","Greenshield Logo Green Rgb providing quality healthcare services at Main Street Health",enhanced_fallback,"30,832 bytes",image/png
Frame-330-2.png,wp-content/uploads/2025/09/Frame-330-2.png,"Frame 330","Frame 330","Frame 330 in modern medical environment at Main Street Health",enhanced_fallback,"1,583,343 bytes",image/png
noun-broken-leg-3194569-FFFFFF-3-1-1.svg,wp-content/uploads/2025/09/noun-broken-leg-3194569-FFFFFF-3-1-1.svg,"Noun Broken Leg 3194569 Ffffff 3 1","Noun Broken Leg 3194569 Ffffff 3 1","High-quality Noun Broken Leg 3194569 Ffffff 3 1 services at Main Street Health facility",enhanced_fallback,"1,955 bytes",image/svg+xml
man-with-a-support-bandage-on-his-shoulder-2024-10-17-01-48-48-utc.jpg,wp-content/uploads/2025/09/man-with-a-support-bandage-on-his-shoulder-2024-10-17-01-48-48-utc.jpg,"Man With A Support Bandage On His Shoulder 2024 10 17 01 48 48 Utc","Man With A Support Bandage On His Shoulder 2024 10 17 01 48 48 Utc","Man With A Support Bandage On His Shoulder 2024 10 17 01 48 48 Utc in modern medical environment at Main Street Health",enhanced_fallback,"5,750,238 bytes",image/jpeg
noun-parking-5667043-2B4666.svg,wp-content/uploads/2025/09/noun-parking-5667043-2B4666.svg,"Noun Parking 5667043 2b4666","Noun Parking 5667043 2b4666","Noun Parking 5667043 2b4666 in modern medical environment at Main Street Health",enhanced_fallback,"1,040 bytes",image/svg+xml
noun-neck-pain-638287-666666-3-1.svg,wp-content/uploads/2025/09/noun-neck-pain-638287-666666-3-1.svg,"Noun Neck Pain 638287 666666 3","Noun Neck Pain 638287 666666 3","High-quality Noun Neck Pain 638287 666666 3 services at Main Street Health facility",enhanced_fallback,"3,512 bytes",image/svg+xml
noun-injury-7344654-FFFFFF.svg,wp-content/uploads/2025/09/noun-injury-7344654-FFFFFF.svg,"Noun Injury 7344654 Ffffff","Noun Injury 7344654 Ffffff","Main Street Health Noun Injury 7344654 Ffffff for comprehensive patient care",enhanced_fallback,"1,224 bytes",image/svg+xml
Frame-330-1-2.png,wp-content/uploads/2025/09/Frame-330-1-2.png,"Frame 330 1","Frame 330 1","Main Street Health Frame 330 1 for comprehensive patient care",enhanced_fallback,"1,583,343 bytes",image/png
Nicole-Jenkins-1.png,wp-content/uploads/2025/09/Nicole-Jenkins-1.png,"Nicole Jenkins","Nicole Jenkins","Professional Nicole Jenkins at Main Street Health medical facility",enhanced_fallback,"686,343 bytes",image/png
bronze.webp,wp-content/uploads/2025/09/bronze.webp,Bronze,Bronze,"High-quality Bronze services at Main Street Health facility",enhanced_fallback,"3,832 bytes",image/webp
